feature_prc,features_elimination_prc,epsilon_factor,dist_functions,accuracy,round_time
0.1,0.5,"[100, 10]",jm,0.202,0.610698
0.1,0.5,"[50, 50]",jm,0.202,0.603612
0.1,0.5,"[10, 100]",jm,0.202,0.608891
0.1,0.5,"[25, 50]",jm,0.202,0.614951
0.1,0.5,"[50, 25]",jm,0.202,0.620298
0.1,0.0,"[25, 25]","['wasserstein', 'jm']",0.201,6.141843
0.1,0.0,"[100, 10]","['wasserstein', 'jm']",0.201,6.105657
0.1,0.0,"[50, 50]","['wasserstein', 'jm']",0.201,6.124693
0.1,0.0,"[10, 100]","['wasserstein', 'jm']",0.201,6.103312
0.1,0.0,"[25, 50]","['wasserstein', 'jm']",0.201,6.115516
0.1,0.0,"[50, 25]","['wasserstein', 'jm']",0.201,5.797619
0.1,0.2,"[25, 25]",hellinger,0.2,0.590589
0.1,0.2,"[100, 10]",hellinger,0.2,0.584317
0.1,0.2,"[50, 50]",hellinger,0.2,0.583276
0.1,0.2,"[25, 50]",hellinger,0.2,0.586121
0.1,0.2,"[50, 25]",hellinger,0.2,0.578574
0.1,0.35,"[25, 25]","['wasserstein', 'hellinger']",0.2,6.08619
0.1,0.35,"[100, 10]","['wasserstein', 'hellinger']",0.2,6.083327
0.1,0.35,"[50, 50]","['wasserstein', 'hellinger']",0.2,6.037016
0.1,0.35,"[25, 50]","['wasserstein', 'hellinger']",0.2,6.053133
0.1,0.35,"[50, 25]","['wasserstein', 'hellinger']",0.2,6.050053
0.1,0.5,"[100, 10]","['jm', 'hellinger']",0.196,6.053496
0.1,0.5,"[50, 50]","['jm', 'hellinger']",0.196,6.094669
0.1,0.5,"[10, 100]","['wasserstein', 'jm', 'hellinger']",0.196,6.384103
0.1,0.5,"[50, 25]","['jm', 'hellinger']",0.196,6.086747
0.1,0.2,"[100, 10]","['jm', 'hellinger']",0.195,6.030907
0.1,0.2,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.195,6.324255
0.1,0.2,"[50, 50]","['jm', 'hellinger']",0.195,6.025967
0.1,0.2,"[50, 50]","['wasserstein', 'jm', 'hellinger']",0.195,6.364444
0.1,0.2,"[50, 25]","['jm', 'hellinger']",0.195,6.023286
0.1,0.2,"[50, 25]","['wasserstein', 'jm', 'hellinger']",0.195,6.345346
0.1,0.2,"[25, 25]","['jm', 'hellinger']",0.194,6.027226
0.1,0.2,"[25, 25]","['wasserstein', 'jm', 'hellinger']",0.194,6.358326
0.1,0.2,"[25, 50]","['jm', 'hellinger']",0.194,6.03176
0.1,0.2,"[25, 50]","['wasserstein', 'jm', 'hellinger']",0.194,6.35972
0.1,0.35,"[25, 25]","['wasserstein', 'jm', 'hellinger']",0.194,6.367859
0.1,0.35,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.194,6.355795
0.1,0.35,"[50, 50]","['wasserstein', 'jm', 'hellinger']",0.194,6.379457
0.1,0.35,"[10, 100]","['wasserstein', 'jm', 'hellinger']",0.194,6.376332
0.1,0.35,"[25, 50]","['wasserstein', 'jm', 'hellinger']",0.194,6.3744
0.1,0.35,"[50, 25]","['wasserstein', 'jm', 'hellinger']",0.194,6.363673
0.1,0.2,"[10, 100]","['jm', 'hellinger']",0.193,6.048406
0.1,0.2,"[10, 100]","['wasserstein', 'jm', 'hellinger']",0.193,6.37588
