feature_prc,features_elimination_prc,epsilon_factor,dist_functions,accuracy,round_time
0.05,0.0,"[50, 50]",wasserstein,0.9605,4.206381
0.05,0.0,"[50, 25]",wasserstein,0.9605,4.27998
0.05,0.5,"[50, 25]","['jm', 'hellinger']",0.9605,12.058308
0.05,0.0,"[25, 25]","['jm', 'hellinger']",0.9595,12.525732
0.05,0.5,"[50, 50]","['wasserstein', 'jm', 'hellinger']",0.959,13.071655
0.05,0.0,"[100, 10]",wasserstein,0.958,4.229476
0.05,0.5,"[100, 10]","['wasserstein', 'hellinger']",0.957,10.844266
0.05,0.5,"[50, 50]","['jm', 'hellinger']",0.957,11.915787
0.05,0.5,"[10, 100]",hellinger,0.9565,4.350509
0.05,0.2,"[50, 25]","['wasserstein', 'jm', 'hellinger']",0.955,13.303995
0.05,0.5,"[25, 25]","['wasserstein', 'jm', 'hellinger']",0.955,12.802303
0.05,0.2,"[10, 100]","['jm', 'hellinger']",0.9545,12.282595
0.05,0.5,"[100, 10]","['jm', 'hellinger']",0.9545,11.806226
0.05,0.2,"[50, 50]","['wasserstein', 'jm', 'hellinger']",0.9525,13.240528
0.05,0.0,"[10, 100]","['wasserstein', 'jm', 'hellinger']",0.952,13.465102
0.05,0.2,"[50, 50]","['jm', 'hellinger']",0.952,12.28985
0.05,0.2,"[50, 25]","['wasserstein', 'hellinger']",0.952,11.343094
0.05,0.35,"[50, 50]","['wasserstein', 'hellinger']",0.952,11.116413
0.05,0.35,"[10, 100]",wasserstein,0.952,3.95014
0.05,0.35,"[50, 25]","['jm', 'hellinger']",0.952,12.261552
0.05,0.5,"[25, 50]","['wasserstein', 'jm', 'hellinger']",0.951,12.801487
0.05,0.2,"[50, 25]","['jm', 'hellinger']",0.9505,12.255976
0.05,0.5,"[25, 25]",hellinger,0.9505,4.423042
0.05,0.5,"[25, 50]",hellinger,0.9505,4.413572
0.05,0.35,"[25, 25]","['wasserstein', 'jm', 'hellinger']",0.9495,13.184708
0.05,0.35,"[50, 25]","['wasserstein', 'hellinger']",0.9495,11.209972
0.05,0.0,"[50, 50]","['wasserstein', 'hellinger']",0.949,11.55673
0.05,0.35,"[100, 10]",wasserstein,0.949,4.032525
0.05,0.2,"[50, 50]","['wasserstein', 'hellinger']",0.9485,11.417867
0.05,0.35,"[25, 25]",wasserstein,0.9485,4.046975
0.05,0.35,"[50, 50]",hellinger,0.9485,4.271761
0.05,0.35,"[50, 50]","['jm', 'hellinger']",0.9485,12.042743
0.05,0.35,"[25, 50]",wasserstein,0.9485,3.970621
0.05,0.35,"[25, 50]","['wasserstein', 'jm', 'hellinger']",0.9485,13.218091
0.05,0.35,"[50, 25]",hellinger,0.9485,4.428496
0.05,0.0,"[10, 100]","['jm', 'hellinger']",0.9475,12.508826
0.05,0.5,"[100, 10]",hellinger,0.9475,4.097059
0.05,0.2,"[50, 50]",hellinger,0.947,4.400818
0.05,0.2,"[50, 25]",hellinger,0.947,4.499468
0.05,0.0,"[50, 25]","['wasserstein', 'hellinger']",0.9465,11.4566
0.05,0.0,"[100, 10]","['wasserstein', 'hellinger']",0.946,11.493947
0.05,0.35,"[50, 50]",wasserstein,0.946,3.987405
0.05,0.35,"[50, 25]",wasserstein,0.946,3.972892
0.05,0.0,"[100, 10]",hellinger,0.9445,4.361765
0.05,0.0,"[50, 50]",hellinger,0.9435,4.465925
0.05,0.0,"[50, 25]",hellinger,0.9435,4.792466
0.05,0.35,"[25, 50]","['jm', 'hellinger']",0.9435,12.281532
0.05,0.5,"[100, 10]",wasserstein,0.943,3.877576
0.05,0.35,"[25, 50]","['wasserstein', 'hellinger']",0.9425,11.352802
0.05,0.35,"[25, 25]","['jm', 'hellinger']",0.942,12.322935
0.05,0.35,"[25, 25]","['wasserstein', 'hellinger']",0.9415,11.356521
0.05,0.2,"[25, 25]",hellinger,0.94,4.732243
0.05,0.0,"[25, 25]",hellinger,0.9395,4.867259
0.05,0.5,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.9385,12.689896
0.05,0.2,"[25, 50]",hellinger,0.937,4.687365
0.05,0.5,"[25, 25]",wasserstein,0.937,3.882401
0.05,0.5,"[25, 50]",wasserstein,0.937,4.034346
0.05,0.2,"[25, 25]","['wasserstein', 'hellinger']",0.936,11.413012
0.05,0.2,"[25, 50]","['wasserstein', 'hellinger']",0.936,11.401495
0.05,0.0,"[25, 50]",hellinger,0.935,4.802274
0.05,0.5,"[25, 25]","['jm', 'hellinger']",0.935,12.072767
0.05,0.5,"[10, 100]",wasserstein,0.933,3.979084
0.05,0.35,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.9325,12.789571
0.05,0.5,"[25, 50]","['jm', 'hellinger']",0.932,11.906918
0.05,0.5,"[25, 25]","['wasserstein', 'hellinger']",0.927,10.970257
0.05,0.5,"[50, 50]",wasserstein,0.9265,3.876625
0.05,0.5,"[50, 25]",wasserstein,0.9265,3.913829
0.05,0.5,"[25, 50]","['wasserstein', 'hellinger']",0.925,10.950082
0.05,0.2,"[25, 25]",wasserstein,0.9215,4.271537
0.05,0.2,"[25, 50]",wasserstein,0.9215,4.201762
0.05,0.5,"[10, 100]","['wasserstein', 'hellinger']",0.92,10.78163
0.05,0.35,"[100, 10]","['jm', 'hellinger']",0.918,11.89985
0.05,0.35,"[25, 25]",hellinger,0.9165,4.66149
0.05,0.35,"[10, 100]","['wasserstein', 'hellinger']",0.9165,11.082226
0.05,0.35,"[25, 50]",hellinger,0.9165,4.667698
0.05,0.0,"[25, 25]","['wasserstein', 'hellinger']",0.9155,11.657902
0.05,0.0,"[25, 50]","['wasserstein', 'hellinger']",0.915,11.692159
0.05,0.2,"[100, 10]",wasserstein,0.91,4.228284
0.05,0.2,"[100, 10]",hellinger,0.9085,4.268272
0.05,0.2,"[10, 100]","['wasserstein', 'hellinger']",0.903,11.650387
0.05,0.0,"[10, 100]","['wasserstein', 'hellinger']",0.9,11.775809
0.05,0.2,"[10, 100]",wasserstein,0.9,4.14668
0.05,0.2,"[100, 10]","['wasserstein', 'hellinger']",0.8995,11.141211
0.05,0.2,"[100, 10]","['jm', 'hellinger']",0.8955,12.140068
0.05,0.2,"[10, 100]",hellinger,0.8935,4.708161
0.05,0.0,"[10, 100]",hellinger,0.8925,4.790672
